CustomerID,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Churn Label,Churn Value,Churn Score,Churn Reason
3874-EQOEP,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,94,Poor expertise of phone support
0867-MKZVY,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,1,86,Price too high
3376-BMGFE,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,75,Product dissatisfaction
3445-HXXGF,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Yes,1,100,Service dissatisfaction
1875-QIVME,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,1,83,Lack of self-service on Website
0691-JVSYA,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,80,Network reliability
2656-FMOKZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,99,Limited range of services
2070-FNEXE,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,1,81,Lack of affordable download/upload speed
6317-YPKDH,No,No phone service,DSL,No,Yes,No,No,No,No,Yes,1,95,Long distance charges
9367-WXLCH,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,1,86,Extra data charges
1918-ZBFQJ,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Yes,1,73,Price too high
1024-GUALD,No,No phone service,DSL,No,No,No,No,No,No,Yes,1,94,Product dissatisfaction
2472-OVKUP,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,1,94,Service dissatisfaction
1285-OKIPP,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,1,98,Lack of self-service on Website
7825-ECJRF,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,1,71,Network reliability
7841-TZDMQ,Yes,No,DSL,No,No,No,No,No,No,Yes,1,76,Don't know
9408-SSNVZ,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,67,Don't know
0742-MOABM,Yes,No,DSL,No,No,No,Yes,No,No,Yes,1,82,Don't know
2232-DMLXU,Yes,No,DSL,No,No,No,No,Yes,No,Yes,1,81,Poor expertise of online support
8937-RDTHP,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Yes,1,66,Poor expertise of phone support
1251-KRREG,Yes,Yes,DSL,No,Yes,No,No,No,No,Yes,1,81,Price too high
0094-OIFMO,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,1,85,Product dissatisfaction
9947-OTFQU,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,1,86,Service dissatisfaction
0322-YINQP,Yes,No,DSL,Yes,No,No,No,No,No,Yes,1,77,Lack of self-service on Website
4629-NRXKX,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,75,Network reliability
9514-JDSKI,No,No phone service,DSL,No,Yes,No,No,Yes,No,Yes,1,65,Limited range of services
4959-JOSRX,Yes,No,DSL,No,No,No,No,No,No,Yes,1,99,Lack of affordable download/upload speed
7273-TEFQD,No,No phone service,DSL,No,No,Yes,No,No,Yes,Yes,1,96,Long distance charges
3606-TWKGI,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,84,Extra data charges
6323-AYBRX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,83,Price too high
4385-GZQXV,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,1,81,Product dissatisfaction
6366-ZGQGL,No,No phone service,DSL,No,No,No,No,No,No,Yes,1,73,Service dissatisfaction
5940-AHUHD,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,69,Lack of self-service on Website
6432-TWQLB,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Yes,1,80,Network reliability
4484-GLZOU,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,65,Don't know
9512-UIBFX,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,68,Don't know
5583-SXDAG,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,97,Don't know
3488-PGMQJ,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,1,80,Poor expertise of online support
3580-REOAC,Yes,No,DSL,No,No,No,No,No,No,Yes,1,83,Poor expertise of phone support
7534-BFESC,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,98,Price too high
6390-DSAZX,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,1,80,Product dissatisfaction
8098-LLAZX,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,85,Service dissatisfaction
0265-EDXBD,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,69,Lack of self-service on Website
7563-BIUPC,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,1,69,Network reliability
2321-OMBXY,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,1,81,Limited range of services
2840-XANRC,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,73,Lack of affordable download/upload speed
5020-ZSTTY,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,1,83,Long distance charges
5804-LEPIM,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,73,Extra data charges
0122-OAHPZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,67,Price too high
2868-SNELZ,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,1,92,Product dissatisfaction
4322-RCYMT,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,1,81,Service dissatisfaction
6680-NENYN,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,91,Lack of self-service on Website
1343-EHPYB,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,98,Network reliability
2034-GDRCN,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,76,Don't know
0219-YTZUE,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,1,73,Don't know
0623-IIHUG,No,No phone service,DSL,Yes,No,No,No,Yes,No,Yes,1,97,Don't know
4572-DVCGN,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,1,85,Poor expertise of online support
9057-MSWCO,No,No phone service,DSL,Yes,No,No,No,No,No,Yes,1,91,Poor expertise of phone support
1010-DIAUQ,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,98,Price too high
0259-GBZSH,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,1,73,Product dissatisfaction
9601-BRXPO,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,1,66,Service dissatisfaction
6905-NIQIN,Yes,No,DSL,No,Yes,No,No,No,No,Yes,1,76,Don't know
5167-ZFFMM,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,1,81,Network reliability
4895-TMWIR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,80,Limited range of services
0533-BNWKF,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,1,100,Lack of affordable download/upload speed
6599-CEBNN,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,1,94,Long distance charges
0979-PHULV,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,80,Extra data charges
4800-VHZKI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,92,Price too high
7989-CHGTL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,95,Product dissatisfaction
0334-GDDSO,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,1,73,Service dissatisfaction
0578-SKVMF,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Yes,1,88,Lack of self-service on Website
5564-NEMQO,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,1,67,Network reliability
9063-ZGTUY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,82,Don't know
2957-LOLHO,Yes,No,DSL,No,No,No,No,No,No,Yes,1,68,Don't know
7752-XUSCI,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,84,Don't know
4110-PFEUZ,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,73,Competitor had better devices
0256-LTHVJ,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,1,98,Competitor had better devices
0880-TKATG,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,84,Competitor had better devices
3811-VBYBZ,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,1,98,Competitor had better devices
4640-UHDOS,Yes,No,DSL,No,No,No,No,No,Yes,Yes,1,91,Competitor had better devices
3583-EKAPL,Yes,No,DSL,No,No,No,No,No,Yes,Yes,1,71,Competitor had better devices
9399-APLBT,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,1,80,Competitor had better devices
2359-KMGLI,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,1,77,Competitor had better devices
0306-JAELE,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,1,66,Competitor had better devices
6227-HWPWX,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,73,Competitor had better devices
0447-BEMNG,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Yes,1,65,Price too high
5949-XIKAE,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,1,65,Product dissatisfaction
8372-JUXUI,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,93,Service dissatisfaction
0388-EOPEX,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,1,77,Lack of self-service on Website
8205-OTCHB,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Yes,1,66,Network reliability
6235-VDHOM,No,No phone service,DSL,No,Yes,No,No,No,No,Yes,1,89,Limited range of services
7783-YKGDV,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,1,76,Lack of affordable download/upload speed
5609-CEBID,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,1,87,Long distance charges
7218-HKQFK,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,1,72,Don't know
4636-QRJKY,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Yes,1,98,Price too high
5956-VKDTT,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,82,Product dissatisfaction
9412-GHEEC,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,1,88,Service dissatisfaction
0257-ZESQC,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,1,99,Lack of self-service on Website
6825-UYPFK,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,81,Network reliability
8397-MVTAZ,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,72,Don't know
9282-IZGQK,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,1,80,Don't know
1342-JPNKI,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,1,85,Don't know
2817-NTQDO,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Yes,1,74,Poor expertise of online support
6986-IJDHX,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,1,98,Poor expertise of phone support
5301-GAUUY,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,1,92,Competitor had better devices
0939-YAPAF,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,72,Competitor offered higher download speeds
4710-FDUIZ,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,1,67,Competitor offered more data
1218-VKFPE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,72,Competitor made better offer
3627-FHKBK,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,1,87,Competitor had better devices
2865-TCHJW,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes,1,74,Competitor had better devices
5192-EBGOV,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,1,66,Competitor offered higher download speeds
0719-SYFRB,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Yes,1,67,Competitor offered higher download speeds
3419-SNJJD,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,1,91,Competitor offered higher download speeds
6543-CPZMK,No,No phone service,DSL,No,Yes,No,No,No,No,Yes,1,83,Competitor offered more data
4765-OXPPD,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,1,76,Competitor offered more data
1009-IRMNA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,100,Competitor offered more data
4554-YGZIH,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,1,96,Competitor made better offer
5099-BAILX,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,1,65,Competitor made better offer
7207-RMRDB,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,89,Competitor had better devices
4913-EHYUI,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,1,91,Competitor offered higher download speeds
0195-IESCP,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,1,75,Competitor offered more data
4580-TMHJU,Yes,No,DSL,No,No,No,No,Yes,No,Yes,1,65,Don't know
0970-ETWGE,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,99,Competitor had better devices
1626-ERCMM,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,84,Competitor had better devices
0887-HJGAR,Yes,No,DSL,No,No,No,No,No,No,Yes,1,95,Competitor offered higher download speeds
5644-PDMZC,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,1,80,Competitor offered higher download speeds
9576-ANLXO,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,87,Competitor offered higher download speeds
2024-BASKD,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,1,94,Competitor offered more data
4160-AMJTL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,83,Competitor offered more data
4464-JCOLN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,68,Competitor offered more data
5650-VDUDS,No,No phone service,DSL,No,No,No,No,No,No,Yes,1,93,Competitor made better offer
7538-GWHML,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,80,Competitor made better offer
3859-CVCET,Yes,No,DSL,No,No,No,No,No,No,Yes,1,78,Competitor had better devices
3276-HDUEG,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,78,Competitor offered higher download speeds
0823-HSCDJ,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Yes,1,90,Competitor offered more data
0822-GAVAP,No,No phone service,DSL,No,No,No,No,No,Yes,Yes,1,65,Competitor made better offer
1448-PWKYE,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,1,88,Competitor had better devices
0067-DKWBL,Yes,No,DSL,Yes,No,No,No,No,No,Yes,1,89,Competitor had better devices
2276-YDAVZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,69,Competitor offered higher download speeds
5896-NPFWW,Yes,No,DSL,No,No,Yes,No,No,No,Yes,1,86,Competitor offered higher download speeds
7133-VBDCG,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Yes,1,85,Competitor offered higher download speeds
1029-QFBEN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,66,Competitor offered more data
4952-YSOGZ,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,1,74,Competitor offered more data
1589-AGTLK,Yes,No,DSL,No,No,No,No,No,No,Yes,1,67,Competitor offered more data
5244-IRFIH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,96,Competitor made better offer
2684-EIWEO,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,1,97,Competitor made better offer
6439-GTPCA,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Yes,1,73,Competitor had better devices
5138-WVKYJ,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,1,80,Competitor offered higher download speeds
6683-VLCTZ,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,92,Competitor offered more data
2189-WWOEW,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Yes,1,96,Don't know
1894-IGFSG,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,82,Competitor had better devices
7379-POKDZ,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,66,Competitor had better devices
0236-HFWSV,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,77,Competitor offered higher download speeds
3900-AQPHZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,100,Competitor offered higher download speeds
5842-POCOP,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Yes,1,79,Competitor offered higher download speeds
2037-XJFUP,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,76,Competitor offered more data
7314-OXENN,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,1,97,Competitor offered more data
0322-CHQRU,Yes,No,DSL,No,No,No,No,No,No,Yes,1,81,Competitor offered more data
4678-DVQEO,Yes,No,DSL,No,No,No,Yes,No,No,Yes,1,71,Competitor made better offer
0691-IFBQW,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,1,81,Competitor made better offer
3009-JWMPU,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,92,Attitude of service provider
1450-GALXR,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,1,74,Attitude of service provider
3138-BKYAV,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,1,75,Attitude of service provider
4289-DTDKW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,1,70,Attitude of support person
1820-TQVEV,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,76,Attitude of support person
2239-JALAW,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,74,Attitude of support person
4853-RULSV,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,1,80,Attitude of service provider
6275-YDUVO,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Yes,1,95,Attitude of service provider
0115-TFERT,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,1,89,Attitude of service provider
2311-QYMUQ,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,1,73,Attitude of support person
3643-AHCFP,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,83,Competitor made better offer
3104-OWCGK,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,1,76,Moved
9101-BWFSS,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,1,82,Moved
9231-ZJYAM,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,1,72,Moved
6982-SSHFK,Yes,No,DSL,No,No,No,No,No,No,Yes,1,89,Competitor offered higher download speeds
0727-BMPLR,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,83,Competitor offered higher download speeds
1038-ZAGBI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,94,Competitor offered higher download speeds
3027-ZTDHO,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,80,Don't know
2382-BCKQJ,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,91,Competitor offered higher download speeds
2207-NHRJK,Yes,No,DSL,No,Yes,No,No,No,No,Yes,1,85,Competitor offered higher download speeds
0947-MUGVO,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,1,95,Competitor offered higher download speeds
9944-HKVVB,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,1,77,Competitor offered higher download speeds
4124-MMETB,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,85,Competitor offered higher download speeds
3671-SHRSP,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Yes,1,86,Competitor offered more data
3313-QKNKB,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,1,80,Competitor offered more data
5073-WXOYN,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Yes,1,67,Competitor offered more data
0207-MDKNV,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,1,84,Competitor made better offer
9851-KIELU,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,76,Competitor made better offer
3908-BLSYF,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Yes,1,97,Price too high
7549-MYGPK,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,1,79,Price too high
3804-RVTGV,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,100,Price too high
9227-LUNBG,No,No phone service,DSL,No,No,No,No,No,No,Yes,1,76,Price too high
4315-MURBD,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,1,71,Price too high
9734-YWGEX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,81,Price too high
2719-BDAQO,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,1,93,Price too high
0781-LKXBR,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,70,Price too high
1907-UBQFC,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,1,99,Price too high
6513-EECDB,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,94,Price too high
7074-IEVOJ,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,1,91,Product dissatisfaction
9625-QSTYE,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Yes,1,79,Service dissatisfaction
4750-ZRXIU,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,1,83,Lack of self-service on Website
6400-BWQKW,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,1,99,Network reliability
6680-WKXRZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,97,Don't know
7028-DVOIQ,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,82,Don't know
4208-UFFGW,Yes,No,DSL,No,No,No,No,No,No,Yes,1,84,Don't know
9448-REEVD,Yes,No,DSL,No,No,No,No,No,No,Yes,1,74,Don't know
9117-SHLZX,Yes,No,DSL,No,No,No,No,No,No,Yes,1,72,Poor expertise of phone support
9889-TMAHG,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,1,74,Competitor had better devices
4541-RMRLG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,82,Competitor offered higher download speeds
3158-MOERK,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,83,Competitor offered more data
7294-TMAOP,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,72,Competitor made better offer
8919-FYFQZ,No,No phone service,DSL,No,Yes,No,No,No,No,Yes,1,96,Competitor had better devices
2834-JRTUA,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,1,81,Competitor had better devices
5875-YPQFJ,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,84,Competitor offered higher download speeds
