CustomerID,Monthly Charges,Total Charges,Payment Method,Paperless Billing,CLTV
9057-MSWCO,30.75,805.1,Credit card (automatic),No,2927
1010-DIAUQ,96.5,492.55,Bank transfer (automatic),No,5383
0259-GBZSH,85.65,181.5,Electronic check,Yes,3878
9601-BRXPO,104.95,2566.5,Bank transfer (automatic),Yes,3642
6905-NIQIN,50.65,50.65,Mailed check,No,2431
5167-ZFFMM,90.85,90.85,Credit card (automatic),Yes,3424
4895-TMWIR,19.95,214.75,Mailed check,No,5888
0533-BNWKF,85.45,4874.7,Electronic check,Yes,5502
6599-CEBNN,73.95,2524.45,Credit card (automatic),Yes,5795
0979-PHULV,99.45,7007.6,Credit card (automatic),Yes,4020
4800-VHZKI,19.9,19.9,Mailed check,Yes,3351
7989-CHGTL,19.6,19.6,Mailed check,Yes,3448
0334-GDDSO,81.35,233.7,Electronic check,Yes,2818
0578-SKVMF,83.3,1845.9,Electronic check,No,3804
5564-NEMQO,75.3,75.3,Bank transfer (automatic),Yes,4902
9063-ZGTUY,19.4,1182.55,Mailed check,Yes,4221
2957-LOLHO,45.4,518.9,Bank transfer (automatic),Yes,2887
7752-XUSCI,105.9,6396.45,Electronic check,Yes,4105
4110-PFEUZ,69.55,69.55,Mailed check,No,2792
0256-LTHVJ,81.05,2227.1,Electronic check,Yes,5201
0880-TKATG,101.15,385.9,Electronic check,No,4417
3811-VBYBZ,99.8,673.25,Electronic check,Yes,2031
4640-UHDOS,55.95,734.35,Electronic check,No,4498
3583-EKAPL,55.0,55,Electronic check,Yes,4877
9399-APLBT,74.7,74.7,Electronic check,Yes,5980
2359-KMGLI,80.25,1861.5,Electronic check,Yes,4418
0306-JAELE,96.1,453.4,Electronic check,Yes,4192
6227-HWPWX,69.0,994.8,Bank transfer (automatic),No,5671
0447-BEMNG,45.3,2145,Bank transfer (automatic),Yes,4926
5949-XIKAE,83.55,680.05,Electronic check,Yes,2879
8372-JUXUI,74.35,74.35,Electronic check,Yes,2814
0388-EOPEX,74.4,139.4,Electronic check,Yes,4263
8205-OTCHB,43.75,903.6,Bank transfer (automatic),Yes,3099
6235-VDHOM,28.45,131.05,Electronic check,No,4099
7783-YKGDV,99.7,1238.45,Bank transfer (automatic),Yes,2538
5609-CEBID,94.1,1782.4,Electronic check,Yes,2666
7218-HKQFK,94.2,167.5,Electronic check,Yes,3715
4636-QRJKY,80.5,502.85,Electronic check,Yes,5032
5956-VKDTT,74.35,334.8,Electronic check,Yes,5273
9412-GHEEC,104.8,4131.95,Bank transfer (automatic),No,3492
0257-ZESQC,75.2,1929.35,Bank transfer (automatic),Yes,4517
6825-UYPFK,75.6,1758.6,Bank transfer (automatic),No,2115
8397-MVTAZ,100.05,3480,Electronic check,Yes,2568
9282-IZGQK,85.0,85,Electronic check,Yes,5679
1342-JPNKI,86.05,834.1,Bank transfer (automatic),Yes,2966
2817-NTQDO,45.55,597,Credit card (automatic),Yes,4856
6986-IJDHX,86.3,3266,Mailed check,Yes,3364
5301-GAUUY,80.35,2596.15,Bank transfer (automatic),Yes,5974
0939-YAPAF,100.25,3527.6,Electronic check,Yes,2744
4710-FDUIZ,100.3,5614.45,Credit card (automatic),No,5170
1218-VKFPE,19.0,233.55,Mailed check,No,3535
3627-FHKBK,75.3,75.3,Mailed check,No,3244
2865-TCHJW,89.2,346.2,Electronic check,Yes,5808
5192-EBGOV,85.7,85.7,Electronic check,Yes,4880
0719-SYFRB,61.65,713.75,Mailed check,Yes,5670
3419-SNJJD,105.25,6786.4,Bank transfer (automatic),No,4196
6543-CPZMK,29.95,248.95,Electronic check,Yes,2573
4765-OXPPD,65.0,663.05,Mailed check,No,3983
1009-IRMNA,20.0,137.6,Bank transfer (automatic),No,4479
4554-YGZIH,90.05,4547.25,Credit card (automatic),No,5059
5099-BAILX,110.75,4687.9,Bank transfer (automatic),Yes,2728
7207-RMRDB,105.5,6985.65,Electronic check,Yes,5720
4913-EHYUI,104.55,5794.65,Bank transfer (automatic),Yes,6268
0195-IESCP,85.25,855.3,Electronic check,Yes,3573
4580-TMHJU,56.15,2499.3,Electronic check,No,2152
0970-ETWGE,89.55,89.55,Electronic check,Yes,4996
1626-ERCMM,94.55,1899.65,Electronic check,Yes,5604
0887-HJGAR,45.7,45.7,Mailed check,Yes,2295
5644-PDMZC,89.5,161.5,Electronic check,No,2065
9576-ANLXO,69.55,222.3,Bank transfer (automatic),Yes,2876
2024-BASKD,74.6,74.6,Mailed check,Yes,3860
4160-AMJTL,19.65,164.3,Electronic check,No,5432
4464-JCOLN,19.85,35.9,Mailed check,No,2362
5650-VDUDS,24.25,96.05,Mailed check,Yes,2038
7538-GWHML,69.65,145.15,Electronic check,No,2323
3859-CVCET,45.65,191.05,Mailed check,No,2864
3276-HDUEG,75.05,75.05,Mailed check,Yes,4838
0823-HSCDJ,49.15,2550.9,Electronic check,Yes,5597
0822-GAVAP,34.7,62.25,Electronic check,Yes,3146
1448-PWKYE,80.0,80,Electronic check,No,2046
0067-DKWBL,49.25,91.1,Electronic check,Yes,3475
2276-YDAVZ,75.1,270.7,Credit card (automatic),Yes,4965
5896-NPFWW,50.15,168.15,Electronic check,Yes,3273
7133-VBDCG,79.85,2015.35,Bank transfer (automatic),Yes,4535
1029-QFBEN,19.55,19.55,Mailed check,No,3556
4952-YSOGZ,85.95,381.3,Electronic check,Yes,5640
1589-AGTLK,45.35,141.5,Electronic check,Yes,2450
5244-IRFIH,94.5,3105.55,Electronic check,Yes,4333
2684-EIWEO,91.7,2758.15,Credit card (automatic),No,2482
6439-GTPCA,87.25,3941.7,Electronic check,Yes,5269
5138-WVKYJ,98.55,1008.55,Electronic check,No,3658
6683-VLCTZ,98.55,1842.8,Electronic check,Yes,5444
2189-WWOEW,85.9,1269.55,Bank transfer (automatic),Yes,3579
1894-IGFSG,89.25,1907.85,Electronic check,No,3161
7379-POKDZ,70.3,208.85,Electronic check,Yes,3038
0236-HFWSV,93.35,1444.65,Electronic check,Yes,5264
3900-AQPHZ,19.9,19.9,Mailed check,No,4248
5842-POCOP,88.9,454.15,Mailed check,Yes,4356
2037-XJFUP,95.8,3036.75,Electronic check,Yes,4161
7314-OXENN,82.0,184.65,Electronic check,Yes,3051
0322-CHQRU,45.35,89.5,Electronic check,No,3478
4678-DVQEO,52.2,52.2,Electronic check,Yes,4138
0691-IFBQW,110.0,4874.8,Electronic check,Yes,2403
3009-JWMPU,96.75,6125.4,Electronic check,Yes,5016
1450-GALXR,98.5,1058.25,Electronic check,Yes,5184
3138-BKYAV,85.35,489.45,Electronic check,Yes,4694
4289-DTDKW,101.3,4113.1,Electronic check,Yes,2576
1820-TQVEV,69.55,69.55,Electronic check,Yes,3042
2239-JALAW,103.25,6017.65,Bank transfer (automatic),Yes,6105
4853-RULSV,104.0,7250.15,Credit card (automatic),Yes,4544
6275-YDUVO,86.2,178.7,Mailed check,Yes,2969
0115-TFERT,111.2,2317.1,Electronic check,Yes,4123
2311-QYMUQ,89.45,1430.25,Credit card (automatic),Yes,3696
3643-AHCFP,95.6,644.35,Bank transfer (automatic),Yes,3265
3104-OWCGK,90.95,5453.4,Electronic check,No,4111
9101-BWFSS,108.55,5610.7,Electronic check,No,4274
9231-ZJYAM,78.85,292.8,Electronic check,Yes,5301
6982-SSHFK,44.4,44.4,Mailed check,No,3522
0727-BMPLR,100.0,5509.3,Electronic check,Yes,5679
1038-ZAGBI,19.8,229.6,Bank transfer (automatic),No,2653
3027-ZTDHO,89.9,89.9,Electronic check,Yes,5951
2382-BCKQJ,100.15,6413.65,Electronic check,Yes,5600
2207-NHRJK,50.8,50.8,Electronic check,No,3718
0947-MUGVO,73.65,1463.5,Electronic check,Yes,5849
9944-HKVVB,95.1,307.4,Electronic check,Yes,5861
4124-MMETB,94.65,2104.55,Credit card (automatic),Yes,3665
3671-SHRSP,80.6,319.15,Mailed check,Yes,3080
3313-QKNKB,85.55,5084.65,Electronic check,No,6304
5073-WXOYN,50.8,3027.4,Electronic check,Yes,4941
0207-MDKNV,105.1,1582.75,Electronic check,No,2122
9851-KIELU,110.1,1043.3,Electronic check,Yes,5803
3908-BLSYF,83.9,497.55,Electronic check,No,3962
7549-MYGPK,100.55,6215.35,Electronic check,Yes,5413
3804-RVTGV,103.85,5017.9,Bank transfer (automatic),Yes,5812
9227-LUNBG,24.6,24.6,Electronic check,No,5768
4315-MURBD,98.9,1120.95,Bank transfer (automatic),Yes,5559
9734-YWGEX,98.3,923.5,Credit card (automatic),No,2954
2719-BDAQO,93.85,1625.65,Electronic check,No,4940
0781-LKXBR,100.5,918.6,Electronic check,Yes,4038
1907-UBQFC,72.85,688.65,Electronic check,Yes,3189
6513-EECDB,73.55,73.55,Electronic check,Yes,4369
7074-IEVOJ,79.4,205.05,Electronic check,Yes,3501
9625-QSTYE,81.15,952.3,Electronic check,Yes,4806
4750-ZRXIU,84.6,360.1,Electronic check,Yes,2467
6400-BWQKW,79.05,434.5,Electronic check,Yes,3263
6680-WKXRZ,74.4,215.8,Bank transfer (automatic),No,2054
7028-DVOIQ,99.05,3395.8,Electronic check,Yes,2074
4208-UFFGW,44.95,85.15,Mailed check,No,5900
9448-REEVD,44.7,44.7,Credit card (automatic),No,3700
9117-SHLZX,45.7,45.7,Mailed check,Yes,3571
9889-TMAHG,100.3,832.35,Credit card (automatic),No,5084
4541-RMRLG,19.25,112.3,Electronic check,No,4489
3158-MOERK,96.0,174.8,Electronic check,Yes,3391
7294-TMAOP,90.55,90.55,Electronic check,No,2627
8919-FYFQZ,30.35,1359.7,Electronic check,Yes,4829
2834-JRTUA,108.05,7532.15,Electronic check,Yes,5200
5875-YPQFJ,69.9,69.9,Electronic check,Yes,5367
6646-QVXLR,103.75,6383.35,Electronic check,Yes,5052
8603-IJWDN,86.6,86.6,Electronic check,Yes,5228
9369-XFEHK,80.6,2656.5,Bank transfer (automatic),Yes,3601
3842-IYKUE,85.3,2917.5,Credit card (automatic),No,2455
6641-XRPSU,70.0,2416.1,Credit card (automatic),Yes,2318
1374-DMZUI,94.3,424.45,Electronic check,Yes,5419
8357-EQXFO,95.35,660.9,Electronic check,Yes,3077
1989-PRJHP,75.5,1893.95,Electronic check,Yes,2377
9524-EGPJC,90.1,1612.75,Electronic check,Yes,4260
6993-OHLXR,68.95,119.75,Electronic check,No,5225
8818-XYFCQ,99.55,3204.65,Credit card (automatic),Yes,5026
4695-VADHF,57.45,990.85,Electronic check,No,2989
3863-IUBJR,53.65,696.35,Credit card (automatic),No,2595
4822-RVYBB,100.6,819.4,Electronic check,Yes,5906
8436-BJUMM,83.75,2070.6,Electronic check,Yes,2404
4184-TJFAN,88.3,273.75,Mailed check,Yes,4486
4145-UQXUQ,92.1,729.95,Electronic check,Yes,5662
9948-YPTDG,79.45,3013.05,Electronic check,Yes,2405
1236-WFCDV,90.45,1266.1,Credit card (automatic),No,4777
4883-QICIH,69.75,2347.9,Bank transfer (automatic),Yes,2356
8329-IBCTI,19.65,19.65,Mailed check,No,5881
1271-SJBGZ,43.65,526.95,Electronic check,Yes,2437
5669-SRAIP,39.5,210.75,Electronic check,No,2863
5981-ITEMU,97.1,3706.95,Bank transfer (automatic),Yes,3099
6941-PMGEP,80.0,412.5,Electronic check,Yes,3937
1624-WOIWJ,84.7,832.05,Mailed check,Yes,5686
2074-GKOWZ,89.55,185.55,Bank transfer (automatic),Yes,3851
0376-YMCJC,90.6,1943.2,Electronic check,Yes,4359
0634-SZPQA,90.05,2169.8,Bank transfer (automatic),Yes,4650
5536-RTPWK,99.05,4853.75,Bank transfer (automatic),Yes,5157
6166-ILMNY,69.75,144.55,Bank transfer (automatic),No,5667
3097-NNSPB,49.05,91.1,Credit card (automatic),Yes,2960
0655-RBDUG,98.05,713,Bank transfer (automatic),Yes,2561
4361-BKAXE,114.5,4527.45,Bank transfer (automatic),Yes,3038
9878-TNQGW,80.95,171.15,Electronic check,Yes,3533
4441-NIHPT,74.3,940.35,Electronic check,Yes,2995
8999-BOHSE,89.7,1047.7,Bank transfer (automatic),No,2202
7029-RPUAV,100.45,1622.45,Credit card (automatic),Yes,5508
4607-CHPCA,90.4,2178.6,Electronic check,Yes,5801
8824-RWFXJ,56.15,168.15,Mailed check,Yes,2539
9763-PDTKK,94.4,387.2,Bank transfer (automatic),Yes,4249
7627-JKIAZ,78.95,2839.65,Credit card (automatic),Yes,3982
4081-DYXAV,44.85,893.55,Credit card (automatic),Yes,5182
8111-SLLHI,105.65,4284.8,Electronic check,Yes,4687
0927-LCSMG,74.65,544.55,Mailed check,No,3331
8257-RZAHR,64.7,941,Bank transfer (automatic),Yes,4049
5293-WXJAK,104.05,1133.65,Bank transfer (automatic),Yes,4553
0841-NULXI,35.55,35.55,Electronic check,Yes,3958
7851-WZEKY,95.15,196.9,Electronic check,Yes,2414
8844-TONUD,96.65,1162.85,Mailed check,Yes,5295
4086-YQSNZ,80.4,224.05,Electronic check,Yes,3834
5868-CZJDR,31.35,31.35,Mailed check,Yes,3605
0135-NMXAP,89.75,1052.4,Bank transfer (automatic),Yes,5671
6270-OMFIW,94.4,5610.25,Electronic check,Yes,4990
0107-WESLM,19.85,19.85,Electronic check,Yes,3874
3992-YWPKO,109.9,669.45,Credit card (automatic),Yes,5750
0125-LZQXK,101.35,1553.95,Electronic check,Yes,3025
8399-YNDCH,60.05,1236.15,Bank transfer (automatic),Yes,4716
5673-FSSMF,60.15,60.15,Electronic check,Yes,4611
1579-KLYDT,90.45,593.45,Electronic check,Yes,5356
3927-NLNRY,94.25,4867.95,Bank transfer (automatic),Yes,5414
6358-LYNGM,74.9,74.9,Electronic check,Yes,2548
5494-HECPR,80.25,80.25,Electronic check,Yes,2502
9824-BEMCV,69.0,1149.65,Electronic check,Yes,3368
1373-ORVIZ,66.35,740.8,Electronic check,Yes,2860
9866-QEVEE,86.0,1532.45,Bank transfer (automatic),Yes,4857
9897-KXHCM,80.3,250.05,Electronic check,Yes,3212
7979-CORPM,90.55,2282.55,Credit card (automatic),Yes,5927
1618-CFHME,75.9,143.35,Electronic check,Yes,2101
3165-HDOEW,45.85,45.85,Mailed check,Yes,3706
6581-NQCBA,49.95,810.2,Electronic check,Yes,4840
1689-MRZQR,78.3,2564.3,Electronic check,No,2777
5835-BEQEU,76.95,228.4,Electronic check,Yes,4428
5565-FILXA,96.15,1529.2,Electronic check,Yes,5913
5552-ZNFSJ,45.3,45.3,Electronic check,No,4568
2223-KAGMX,19.4,289.3,Bank transfer (automatic),No,5379
7321-PKUYW,90.15,987.95,Electronic check,No,5250
2833-SLKDQ,45.05,45.05,Mailed check,No,4094
7595-EUIVN,75.8,75.8,Electronic check,No,3940
2026-TGDHM,79.3,523.15,Electronic check,Yes,3830
4030-VPZBD,30.9,59.05,Electronic check,Yes,2860
4187-CINZD,95.25,4424.2,Credit card (automatic),No,3180
6818-WOBHJ,89.6,6127.6,Bank transfer (automatic),Yes,5651
2408-TZMJL,110.15,6448.05,Electronic check,Yes,4601
9134-CEQMF,89.5,676.7,Electronic check,Yes,3077
7993-PYKOF,75.0,632.95,Electronic check,No,2587
5027-XWQHA,44.75,270.95,Electronic check,No,2087
4566-QVRRW,44.05,483.7,Electronic check,Yes,3200
8519-IMDHU,85.6,1345.55,Bank transfer (automatic),Yes,4981
0201-OAMXR,115.55,8127.6,Credit card (automatic),No,4838
3372-KWFBM,86.6,1281,Electronic check,Yes,2508
7831-QGOXH,85.2,1553.9,Electronic check,Yes,3326
6393-WRYZE,97.65,3207.55,Electronic check,Yes,3979
6599-RCLCJ,109.55,5124.55,Electronic check,Yes,5863
9831-BPFRI,89.55,3474.45,Electronic check,Yes,3849
1725-MIMXW,19.45,19.45,Mailed check,Yes,5687
0031-PVLZI,20.35,76.35,Mailed check,No,4133
7206-GZCDC,69.25,69.25,Electronic check,Yes,4371
4791-QRGMF,99.5,5961.1,Bank transfer (automatic),Yes,6098
1768-ZAIFU,25.2,25.2,Electronic check,Yes,5688
4671-LXRDQ,45.0,96.45,Mailed check,Yes,5704
1934-SJVJK,20.15,20.15,Mailed check,No,4103
3838-OZURD,105.0,7133.25,Credit card (automatic),Yes,5723
9269-CQOOL,54.7,169.45,Credit card (automatic),Yes,3335
2845-HSJCY,87.25,1258.6,Electronic check,Yes,4786
1184-PJVDB,79.95,857.2,Electronic check,Yes,5640
9415-DPEWS,88.35,1639.3,Electronic check,Yes,5727
7943-RQCHR,94.75,889.9,Electronic check,Yes,2893
3793-MMFUH,95.05,1290,Electronic check,Yes,2230
3249-ZPQRG,78.45,330.05,Electronic check,No,5048
2568-BRGYX,70.2,237.95,Electronic check,Yes,5094
7721-JXEAW,41.05,2452.7,Bank transfer (automatic),Yes,4324
7249-WBIYX,85.6,813.85,Electronic check,Yes,5146
6567-HOOPW,79.2,79.2,Electronic check,Yes,4363
3164-AALRN,70.0,347.4,Mailed check,Yes,2673
3334-CTHOL,49.95,49.95,Bank transfer (automatic),Yes,2041
4704-ERYFC,69.25,1554,Electronic check,Yes,2159
8621-MNIHH,94.25,3217.55,Electronic check,Yes,3369
0471-LVHGK,73.0,3001.2,Electronic check,Yes,2041
9518-RWHZL,100.05,6254.2,Credit card (automatic),Yes,5452
5419-CONWX,99.8,442.85,Credit card (automatic),Yes,2268
6240-EURKS,35.0,553,Electronic check,Yes,2649
6960-HVYXR,76.0,76,Electronic check,No,2567
7024-OHCCK,93.85,170.85,Electronic check,Yes,4193
7861-UVUFT,84.3,1308.4,Electronic check,Yes,4003
5357-TZHPP,84.4,732.5,Credit card (automatic),Yes,5745
0680-DFNNY,101.1,1504.05,Electronic check,Yes,2055
7767-UXAGJ,50.45,50.45,Electronic check,Yes,2928
1571-SAVHK,99.95,1132.75,Mailed check,Yes,5598
9546-CQJSU,91.4,193.6,Electronic check,Yes,5100
0506-LVNGN,75.55,349.65,Credit card (automatic),Yes,4028
2951-QOQTK,80.8,332.45,Credit card (automatic),No,5436
3473-XIIIT,100.0,1534.75,Electronic check,Yes,3794
7893-IXHRQ,20.55,20.55,Electronic check,No,5636
2952-QAYZF,85.3,424.15,Electronic check,Yes,2264
4763-PGDPO,70.4,281,Electronic check,No,4494
5394-SVGJV,98.8,3475.55,Bank transfer (automatic),No,3066
9283-LZQOH,74.4,896.75,Credit card (automatic),Yes,3687
7079-QRCBC,98.75,2407.3,Electronic check,Yes,4016
5469-CTCWN,106.0,6547.7,Electronic check,Yes,4334
9851-QXEEQ,104.7,4346.4,Electronic check,Yes,3316
9809-IMGCQ,96.7,2082.95,Electronic check,Yes,4458
5208-HFSBT,55.05,102.75,Credit card (automatic),Yes,5855
3254-YRILK,88.2,1775.8,Electronic check,Yes,5683
2667-WYLWJ,19.75,145,Mailed check,Yes,2247
0529-ONKER,75.65,1146.65,Electronic check,No,2099
5240-IJOQT,74.7,74.7,Electronic check,Yes,3348
1092-GANHU,76.65,1313.55,Electronic check,Yes,3182
0661-XEYAN,25.8,25.8,Mailed check,Yes,3884
7881-EVUAD,42.6,72.4,Electronic check,Yes,4648
5766-XQXMQ,68.85,1970.5,Bank transfer (automatic),Yes,5449
3703-VAVCL,90.0,190.05,Credit card (automatic),No,3902
8519-QJGJD,75.35,1025.95,Electronic check,No,4995
6326-MTTXK,100.85,819.55,Electronic check,No,3849
0330-IVZHA,69.95,330.15,Electronic check,No,2969
2886-KEFUM,107.5,6873.75,Electronic check,Yes,6144
4237-RLAQD,45.85,45.85,Mailed check,Yes,5930
9651-GTSAQ,106.1,5769.75,Bank transfer (automatic),Yes,4471
3186-BAXNB,91.7,91.7,Electronic check,No,4319
0637-YLETY,95.6,1555.65,Credit card (automatic),Yes,5915
1157-BQCUW,74.95,74.95,Electronic check,Yes,2591
2660-EMUBI,95.35,898.35,Electronic check,Yes,5353
7675-OZCZG,45.0,127.1,Electronic check,No,4145
2003-CKLOR,99.5,6710.5,Electronic check,No,4001
9254-RBFON,98.6,1704.95,Bank transfer (automatic),No,5160
1205-WNWPJ,59.5,415.95,Mailed check,Yes,4661
9391-EOYLI,80.45,950.2,Electronic check,Yes,5374
8387-MOJJT,77.95,3384,Credit card (automatic),Yes,5396
2761-OCIAX,74.7,165.4,Electronic check,Yes,2803
3068-OMWZA,88.8,88.8,Electronic check,Yes,3106
6032-KRXXO,90.25,2755.35,Electronic check,Yes,5654
7459-RRWQZ,64.65,994.55,Bank transfer (automatic),Yes,4780
4154-AQUGT,89.05,1169.35,Bank transfer (automatic),Yes,3861
3092-IGHWF,87.4,5918.8,Electronic check,No,4421
8017-LXHFA,94.75,2293.6,Electronic check,Yes,2740
6352-TWCAU,86.45,3029.1,Electronic check,Yes,5874
2929-QNSRW,98.25,5508.35,Electronic check,Yes,4886
1262-OPMFY,75.75,655.9,Bank transfer (automatic),Yes,5105
4248-QPAVC,85.35,1463.45,Bank transfer (automatic),Yes,3209
1899-VXWXM,106.1,5082.8,Credit card (automatic),Yes,5898
4690-LLKUA,45.05,770.6,Electronic check,Yes,3797
3331-HQDTW,109.8,3587.25,Mailed check,Yes,3410
9490-DFPMD,84.65,3541.35,Electronic check,Yes,4871
5442-XSDCW,79.5,868.5,Bank transfer (automatic),Yes,3469
3049-NDXFL,85.8,85.8,Mailed check,No,2850
8580-AECUZ,79.1,79.1,Electronic check,Yes,5001
7963-GQRMY,44.3,134.5,Mailed check,No,4903
1228-FZFRV,105.95,5341.8,Credit card (automatic),No,5536
2058-DCJBE,69.75,324.6,Electronic check,Yes,3965
5364-XYIRR,94.65,4812.75,Electronic check,Yes,4747
4829-AUOAX,96.05,4399.5,Bank transfer (automatic),No,2712
5047-LHVLY,50.15,50.15,Mailed check,Yes,3438
9158-VCTQB,113.6,4594.95,Bank transfer (automatic),Yes,4963
6311-UEUME,78.9,2384.15,Electronic check,Yes,3249
6839-ITVZJ,60.05,1616.15,Electronic check,Yes,2039
0375-HVGXO,34.7,34.7,Electronic check,Yes,4476
8593-WHYHV,85.3,264.8,Electronic check,Yes,4934
6097-EQISJ,102.45,6615.15,Credit card (automatic),Yes,4688
4423-YLHDV,104.4,2200.25,Bank transfer (automatic),Yes,5570
